Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
PR Stirling,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",5,5,1,420,131*,105,448,93.75,3
KIC Asalanka,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,6,0,323,77,53.83,363,88.98,0
WIA Fernando,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,6,0,295,118,49.16,352,83.8,1
Mushfiqur Rahim,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",5,5,2,265,125,88.33,324,81.79,1
JN Malan,"Ireland - The Village, Malahide, Dublin",2,2,1,261,177*,261,265,98.49,1
SD Hope,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,258,110,86,313,82.42,1
JS Malhotra,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,2,258,173*,86,246,104.87,1
JM Bairstow,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,219,124,73,182,120.32,1
SPD Smith,Australia - Sydney Cricket Ground,2,2,0,209,105,104.5,130,160.76,2
MD Patel,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,1,204,100,51,263,77.56,1
Babar Azam,"South Africa - SuperSport Park, Centurion",2,2,0,197,103,98.5,186,105.91,1
Fakhar Zaman,"South Africa - The Wanderers Stadium, Johannesburg",1,1,0,193,193,193,155,124.51,1
G Malla,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,1,190,55,47.5,269,70.63,0
MD Gunathilaka,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,187,96,62.33,195,95.89,0
Jatinder Singh,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,187,107,37.4,156,119.87,1
E Lewis,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,181,103,60.33,227,79.73,1
Rahmanullah Gurbaz,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,3,0,180,127,60,163,110.42,1
C Campher,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",5,5,0,178,56,35.6,233,76.39,0
KL Rahul,"India - Maharashtra Cricket Association Stadium, Pune",3,3,1,177,108,88.5,175,101.14,1
RK Paudel,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,1,176,86,44,262,67.17,0
Tamim Iqbal,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",5,5,0,176,52,35.2,250,70.4,0
AJ Finch,Australia - Sydney Cricket Ground,2,2,0,174,114,87,193,90.15,1
S Dhawan,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,169,98,56.33,179,94.41,0
LJ Tucker,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",5,5,0,168,83,33.6,241,69.7,0
RW Chakabva,Zimbabwe - Harare Sports Club,3,3,0,164,84,54.66,174,94.25,0
MDKJ Perera,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,0,164,120,54.66,187,87.7,1
JN Malan,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,0,162,121,54,185,87.56,1
Aasif Sheikh,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,159,90,31.8,215,73.95,0
Babar Azam,"England - Edgbaston, Birmingham",1,1,0,158,158,158,139,113.66,1
Mahmudullah,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",5,4,1,157,54,52.33,213,73.7,0
Liton Das,Zimbabwe - Harare Sports Club,3,3,0,155,102,51.66,184,84.23,1
RR Pant,"India - Maharashtra Cricket Association Stadium, Pune",2,2,0,155,78,77.5,102,151.96,0
DA Warner,Australia - Sydney Cricket Ground,2,2,0,152,83,76,153,99.34,0
DM Bravo,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,1,149,102,74.5,189,78.83,1
C Karunaratne,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,6,3,149,44*,49.66,147,101.36,0
BRM Taylor,Pakistan - Rawalpindi Cricket Stadium,2,2,0,148,112,74,162,91.35,1
Zeeshan Maqsood,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,1,146,53,36.5,218,66.97,0
Shakib Al Hasan,Zimbabwe - Harare Sports Club,3,3,1,145,96*,72.5,176,82.38,0
DM de Silva,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,6,0,135,44,22.5,211,63.98,0
BA Stokes,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,135,99,45,102,132.35,0
SR Taylor,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,134,92,26.8,136,98.52,0
Tamim Iqbal,Zimbabwe - Harare Sports Club,3,3,0,132,112,44,138,95.65,1
PWH de Silva,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,1,130,80*,65,96,135.41,0
K Bhurtel,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,0,129,84,25.8,156,82.69,0
V Kohli,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,129,66,43,149,86.57,0
S Dhawan,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,1,128,86*,64,144,88.88,0
Imam-ul-Haq,"South Africa - SuperSport Park, Centurion",2,2,0,127,70,63.5,153,83,0
DP Conway,"New Zealand - Basin Reserve, Wellington",1,1,0,126,126,126,110,114.54,1
PR Stirling,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,0,126,69,42,182,69.23,0
SA Yadav,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,1,124,53,62,101,122.77,0
